,nome,valor_venda,url
13,"SQN 416! APTO REFORMADO, VISTA LIVRE AO LADO DO PARQUE 99199-8954",1090000,https://www.wimoveis.com.br/propriedades/sqn-416!-apto-reformado-vista-livre-ao-lado-do-parque-2942215923.html
14,BELÍSSIMO 2QTOS COM 74M² E 2 VAGAS NO MELHOR CONDOMÍNIO - VISITE HOJE,355000,https://www.wimoveis.com.br/propriedades/belissimo-2qtos-com-74m-e-2-vagas-no-melhor-2943708632.html
15,Liberty Lago Norte,2150000,https://www.wimoveis.com.br/propriedades/liberty-lago-norte-2934273317.html
16,ILHAS DO LAGO - 4 QTS - REFORMADO - SEGUNDO ANDAR NASCENTE,800000,https://www.wimoveis.com.br/propriedades/ilhas-do-lago-4-qts-reformado-segundo-andar-2940279585.html
17,"Apartamento com 3 dormitórios à venda, 132 m² por R$ 800.000 - Norte - Águas Claras/DF",350000,https://www.wimoveis.com.br/propriedades/apartamento-com-3-dormitorios-a-venda-132-m-por-r$-2941987896.html
18,APARTAMENTO - SUL,332420,https://www.wimoveis.com.br/propriedades/apartamento-sul-2943581068.html
0,"NOROESTE. SQNW 311, 4 QUARTOS, CANTO, VAZADO, COM ARMÁRIOS.",1980000,https://www.wimoveis.com.br/propriedades/noroeste.-sqnw-311-4-quartos-canto-vazado-com-2943148630.html
1, 2 QUARTOS C/ 1 SUÍTE C/LAZER +VAGA RESID. BLEND R$ 310 MIL ,310000,https://www.wimoveis.com.br/propriedades/2-quartos-c-1-suite-c-lazer-vaga-resid.-blend-r$-310-2941890935.html
2,"MELHOR 2 QUARTOS DO NOROESTE - 85,90m2 - 2 VAGAS - PROJETO ARQUITETÔNICO",980000,https://www.wimoveis.com.br/propriedades/melhor-2-quartos-do-noroeste-85-90m2-2-vagas-2943598331.html
3,03 Quartos - Noroeste | Reserva Brasília,1060000,https://www.wimoveis.com.br/propriedades/03-quartos-noroeste-reserva-brasilia-2941646386.html
4,185 m² - Apartamento Bougainville Square 4 suítes plenas - ,1160000,https://www.wimoveis.com.br/propriedades/185-m-apartamento-bougainville-square-4-suites-2943693544.html
5,NOROESTE SQNW 311  MONTPARNASSE -  3 QUARTOS DE CANTO ANDAR ALTO NASC PRONTO,360000,https://www.wimoveis.com.br/propriedades/noroeste-sqnw-311-montparnasse-3-quartos-de-canto-2929842643.html
6,Apartamento à venda - em Aguas Claras Sul,1872821,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-em-aguas-claras-sul-2943746653.html
7,4 Suítes - Noroeste - Parque das Tulipas,180000,https://www.wimoveis.com.br/propriedades/4-suites-noroeste-parque-das-tulipas-2936585040.html
8,"2 Quartos, QNJ 58, Reformado, Nascente, Ao lado da Hélio Prates.",219999,https://www.wimoveis.com.br/propriedades/2-quartos-qnj-58-reformado-nascente-ao-lado-da-2943627974.html
9,Oportunidade,230000,https://www.wimoveis.com.br/propriedades/oportunidade-2943677248.html
10,"La Belle Maison Porteira fechada, 1 QUARTO, 1 SUÍTE, 1 VAGA",786000,https://www.wimoveis.com.br/propriedades/la-belle-maison-porteira-fechada-1-quarto-1-suite-1-2942544894.html
11,03 Quartos - Setor Bueno - Persona Bueno by Brasal,1180000,https://www.wimoveis.com.br/propriedades/03-quartos-setor-bueno-persona-bueno-by-brasal-2937654927.html
12,RESIDENCIAL  ILHAS MAURÍCIO PARK SUL - TRÊS - REFORMADO,660000,https://www.wimoveis.com.br/propriedades/residencial-ilhas-mauricio-park-sul-tres-2943332587.html
13,"SQN 416! APTO REFORMADO, VISTA LIVRE AO LADO DO PARQUE 99199-8954",1090000,https://www.wimoveis.com.br/propriedades/sqn-416!-apto-reformado-vista-livre-ao-lado-do-parque-2942215923.html
14,BELÍSSIMO 2QTOS COM 74M² E 2 VAGAS NO MELHOR CONDOMÍNIO - VISITE HOJE,355000,https://www.wimoveis.com.br/propriedades/belissimo-2qtos-com-74m-e-2-vagas-no-melhor-2943708632.html
15,Liberty Lago Norte,2150000,https://www.wimoveis.com.br/propriedades/liberty-lago-norte-2934273317.html
16,ILHAS DO LAGO - 4 QTS - REFORMADO - SEGUNDO ANDAR NASCENTE,800000,https://www.wimoveis.com.br/propriedades/ilhas-do-lago-4-qts-reformado-segundo-andar-2940279585.html
17,"Apartamento com 3 dormitórios à venda, 132 m² por R$ 800.000 - Norte - Águas Claras/DF",350000,https://www.wimoveis.com.br/propriedades/apartamento-com-3-dormitorios-a-venda-132-m-por-r$-2941987896.html
18,APARTAMENTO - SUL,332420,https://www.wimoveis.com.br/propriedades/apartamento-sul-2943581068.html
0,"NOROESTE. SQNW 311, 4 QUARTOS, CANTO, VAZADO, COM ARMÁRIOS.",1980000,https://www.wimoveis.com.br/propriedades/noroeste.-sqnw-311-4-quartos-canto-vazado-com-2943148630.html
1, 2 QUARTOS C/ 1 SUÍTE C/LAZER +VAGA RESID. BLEND R$ 310 MIL ,310000,https://www.wimoveis.com.br/propriedades/2-quartos-c-1-suite-c-lazer-vaga-resid.-blend-r$-310-2941890935.html
2,"MELHOR 2 QUARTOS DO NOROESTE - 85,90m2 - 2 VAGAS - PROJETO ARQUITETÔNICO",980000,https://www.wimoveis.com.br/propriedades/melhor-2-quartos-do-noroeste-85-90m2-2-vagas-2943598331.html
3,03 Quartos - Noroeste | Reserva Brasília,1060000,https://www.wimoveis.com.br/propriedades/03-quartos-noroeste-reserva-brasilia-2941646386.html
4,185 m² - Apartamento Bougainville Square 4 suítes plenas - ,1160000,https://www.wimoveis.com.br/propriedades/185-m-apartamento-bougainville-square-4-suites-2943693544.html
5,NOROESTE SQNW 311  MONTPARNASSE -  3 QUARTOS DE CANTO ANDAR ALTO NASC PRONTO,360000,https://www.wimoveis.com.br/propriedades/noroeste-sqnw-311-montparnasse-3-quartos-de-canto-2929842643.html
6,Apartamento à venda - em Aguas Claras Sul,1872821,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-em-aguas-claras-sul-2943746653.html
7,4 Suítes - Noroeste - Parque das Tulipas,180000,https://www.wimoveis.com.br/propriedades/4-suites-noroeste-parque-das-tulipas-2936585040.html
8,"2 Quartos, QNJ 58, Reformado, Nascente, Ao lado da Hélio Prates.",219999,https://www.wimoveis.com.br/propriedades/2-quartos-qnj-58-reformado-nascente-ao-lado-da-2943627974.html
9,Oportunidade,230000,https://www.wimoveis.com.br/propriedades/oportunidade-2943677248.html
10,"La Belle Maison Porteira fechada, 1 QUARTO, 1 SUÍTE, 1 VAGA",786000,https://www.wimoveis.com.br/propriedades/la-belle-maison-porteira-fechada-1-quarto-1-suite-1-2942544894.html
11,03 Quartos - Setor Bueno - Persona Bueno by Brasal,1180000,https://www.wimoveis.com.br/propriedades/03-quartos-setor-bueno-persona-bueno-by-brasal-2937654927.html
12,RESIDENCIAL  ILHAS MAURÍCIO PARK SUL - TRÊS - REFORMADO,660000,https://www.wimoveis.com.br/propriedades/residencial-ilhas-mauricio-park-sul-tres-2943332587.html
13,"SQN 416! APTO REFORMADO, VISTA LIVRE AO LADO DO PARQUE 99199-8954",1090000,https://www.wimoveis.com.br/propriedades/sqn-416!-apto-reformado-vista-livre-ao-lado-do-parque-2942215923.html
14,BELÍSSIMO 2QTOS COM 74M² E 2 VAGAS NO MELHOR CONDOMÍNIO - VISITE HOJE,355000,https://www.wimoveis.com.br/propriedades/belissimo-2qtos-com-74m-e-2-vagas-no-melhor-2943708632.html
15,Liberty Lago Norte,2150000,https://www.wimoveis.com.br/propriedades/liberty-lago-norte-2934273317.html
16,ILHAS DO LAGO - 4 QTS - REFORMADO - SEGUNDO ANDAR NASCENTE,800000,https://www.wimoveis.com.br/propriedades/ilhas-do-lago-4-qts-reformado-segundo-andar-2940279585.html
17,"Apartamento com 3 dormitórios à venda, 132 m² por R$ 800.000 - Norte - Águas Claras/DF",350000,https://www.wimoveis.com.br/propriedades/apartamento-com-3-dormitorios-a-venda-132-m-por-r$-2941987896.html
18,APARTAMENTO - SUL,332420,https://www.wimoveis.com.br/propriedades/apartamento-sul-2943581068.html
0,"NOROESTE. SQNW 311, 4 QUARTOS, CANTO, VAZADO, COM ARMÁRIOS.",1980000,https://www.wimoveis.com.br/propriedades/noroeste.-sqnw-311-4-quartos-canto-vazado-com-2943148630.html
1, 2 QUARTOS C/ 1 SUÍTE C/LAZER +VAGA RESID. BLEND R$ 310 MIL ,310000,https://www.wimoveis.com.br/propriedades/2-quartos-c-1-suite-c-lazer-vaga-resid.-blend-r$-310-2941890935.html
2,"MELHOR 2 QUARTOS DO NOROESTE - 85,90m2 - 2 VAGAS - PROJETO ARQUITETÔNICO",980000,https://www.wimoveis.com.br/propriedades/melhor-2-quartos-do-noroeste-85-90m2-2-vagas-2943598331.html
3,03 Quartos - Noroeste | Reserva Brasília,1060000,https://www.wimoveis.com.br/propriedades/03-quartos-noroeste-reserva-brasilia-2941646386.html
4,185 m² - Apartamento Bougainville Square 4 suítes plenas - ,1160000,https://www.wimoveis.com.br/propriedades/185-m-apartamento-bougainville-square-4-suites-2943693544.html
5,NOROESTE SQNW 311  MONTPARNASSE -  3 QUARTOS DE CANTO ANDAR ALTO NASC PRONTO,360000,https://www.wimoveis.com.br/propriedades/noroeste-sqnw-311-montparnasse-3-quartos-de-canto-2929842643.html
6,Apartamento à venda - em Aguas Claras Sul,1872821,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-em-aguas-claras-sul-2943746653.html
7,4 Suítes - Noroeste - Parque das Tulipas,180000,https://www.wimoveis.com.br/propriedades/4-suites-noroeste-parque-das-tulipas-2936585040.html
8,"2 Quartos, QNJ 58, Reformado, Nascente, Ao lado da Hélio Prates.",219999,https://www.wimoveis.com.br/propriedades/2-quartos-qnj-58-reformado-nascente-ao-lado-da-2943627974.html
9,Oportunidade,230000,https://www.wimoveis.com.br/propriedades/oportunidade-2943677248.html
10,"La Belle Maison Porteira fechada, 1 QUARTO, 1 SUÍTE, 1 VAGA",786000,https://www.wimoveis.com.br/propriedades/la-belle-maison-porteira-fechada-1-quarto-1-suite-1-2942544894.html
11,03 Quartos - Setor Bueno - Persona Bueno by Brasal,1180000,https://www.wimoveis.com.br/propriedades/03-quartos-setor-bueno-persona-bueno-by-brasal-2937654927.html
12,RESIDENCIAL  ILHAS MAURÍCIO PARK SUL - TRÊS - REFORMADO,660000,https://www.wimoveis.com.br/propriedades/residencial-ilhas-mauricio-park-sul-tres-2943332587.html
13,"SQN 416! APTO REFORMADO, VISTA LIVRE AO LADO DO PARQUE 99199-8954",1090000,https://www.wimoveis.com.br/propriedades/sqn-416!-apto-reformado-vista-livre-ao-lado-do-parque-2942215923.html
14,BELÍSSIMO 2QTOS COM 74M² E 2 VAGAS NO MELHOR CONDOMÍNIO - VISITE HOJE,355000,https://www.wimoveis.com.br/propriedades/belissimo-2qtos-com-74m-e-2-vagas-no-melhor-2943708632.html
15,Liberty Lago Norte,2150000,https://www.wimoveis.com.br/propriedades/liberty-lago-norte-2934273317.html
16,ILHAS DO LAGO - 4 QTS - REFORMADO - SEGUNDO ANDAR NASCENTE,800000,https://www.wimoveis.com.br/propriedades/ilhas-do-lago-4-qts-reformado-segundo-andar-2940279585.html
17,"Apartamento com 3 dormitórios à venda, 132 m² por R$ 800.000 - Norte - Águas Claras/DF",350000,https://www.wimoveis.com.br/propriedades/apartamento-com-3-dormitorios-a-venda-132-m-por-r$-2941987896.html
18,APARTAMENTO - SUL,332420,https://www.wimoveis.com.br/propriedades/apartamento-sul-2943581068.html
0,"NOROESTE. SQNW 311, 4 QUARTOS, CANTO, VAZADO, COM ARMÁRIOS.",1980000,https://www.wimoveis.com.br/propriedades/noroeste.-sqnw-311-4-quartos-canto-vazado-com-2943148630.html
1, 2 QUARTOS C/ 1 SUÍTE C/LAZER +VAGA RESID. BLEND R$ 310 MIL ,310000,https://www.wimoveis.com.br/propriedades/2-quartos-c-1-suite-c-lazer-vaga-resid.-blend-r$-310-2941890935.html
2,"MELHOR 2 QUARTOS DO NOROESTE - 85,90m2 - 2 VAGAS - PROJETO ARQUITETÔNICO",980000,https://www.wimoveis.com.br/propriedades/melhor-2-quartos-do-noroeste-85-90m2-2-vagas-2943598331.html
3,03 Quartos - Noroeste | Reserva Brasília,1060000,https://www.wimoveis.com.br/propriedades/03-quartos-noroeste-reserva-brasilia-2941646386.html
4,185 m² - Apartamento Bougainville Square 4 suítes plenas - ,1160000,https://www.wimoveis.com.br/propriedades/185-m-apartamento-bougainville-square-4-suites-2943693544.html
5,NOROESTE SQNW 311  MONTPARNASSE -  3 QUARTOS DE CANTO ANDAR ALTO NASC PRONTO,360000,https://www.wimoveis.com.br/propriedades/noroeste-sqnw-311-montparnasse-3-quartos-de-canto-2929842643.html
6,Apartamento à venda - em Aguas Claras Sul,1872821,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-em-aguas-claras-sul-2943746653.html
7,4 Suítes - Noroeste - Parque das Tulipas,180000,https://www.wimoveis.com.br/propriedades/4-suites-noroeste-parque-das-tulipas-2936585040.html
8,"2 Quartos, QNJ 58, Reformado, Nascente, Ao lado da Hélio Prates.",219999,https://www.wimoveis.com.br/propriedades/2-quartos-qnj-58-reformado-nascente-ao-lado-da-2943627974.html
9,Oportunidade,230000,https://www.wimoveis.com.br/propriedades/oportunidade-2943677248.html
10,"La Belle Maison Porteira fechada, 1 QUARTO, 1 SUÍTE, 1 VAGA",786000,https://www.wimoveis.com.br/propriedades/la-belle-maison-porteira-fechada-1-quarto-1-suite-1-2942544894.html
11,03 Quartos - Setor Bueno - Persona Bueno by Brasal,1180000,https://www.wimoveis.com.br/propriedades/03-quartos-setor-bueno-persona-bueno-by-brasal-2937654927.html
12,RESIDENCIAL  ILHAS MAURÍCIO PARK SUL - TRÊS - REFORMADO,660000,https://www.wimoveis.com.br/propriedades/residencial-ilhas-mauricio-park-sul-tres-2943332587.html
13,"SQN 416! APTO REFORMADO, VISTA LIVRE AO LADO DO PARQUE 99199-8954",1090000,https://www.wimoveis.com.br/propriedades/sqn-416!-apto-reformado-vista-livre-ao-lado-do-parque-2942215923.html
14,BELÍSSIMO 2QTOS COM 74M² E 2 VAGAS NO MELHOR CONDOMÍNIO - VISITE HOJE,355000,https://www.wimoveis.com.br/propriedades/belissimo-2qtos-com-74m-e-2-vagas-no-melhor-2943708632.html
15,Liberty Lago Norte,2150000,https://www.wimoveis.com.br/propriedades/liberty-lago-norte-2934273317.html
16,ILHAS DO LAGO - 4 QTS - REFORMADO - SEGUNDO ANDAR NASCENTE,800000,https://www.wimoveis.com.br/propriedades/ilhas-do-lago-4-qts-reformado-segundo-andar-2940279585.html
17,"Apartamento com 3 dormitórios à venda, 132 m² por R$ 800.000 - Norte - Águas Claras/DF",350000,https://www.wimoveis.com.br/propriedades/apartamento-com-3-dormitorios-a-venda-132-m-por-r$-2941987896.html
18,APARTAMENTO - SUL,332420,https://www.wimoveis.com.br/propriedades/apartamento-sul-2943581068.html
0,"NOROESTE. SQNW 311, 4 QUARTOS, CANTO, VAZADO, COM ARMÁRIOS.",1980000,https://www.wimoveis.com.br/propriedades/noroeste.-sqnw-311-4-quartos-canto-vazado-com-2943148630.html
1, 2 QUARTOS C/ 1 SUÍTE C/LAZER +VAGA RESID. BLEND R$ 310 MIL ,310000,https://www.wimoveis.com.br/propriedades/2-quartos-c-1-suite-c-lazer-vaga-resid.-blend-r$-310-2941890935.html
2,"MELHOR 2 QUARTOS DO NOROESTE - 85,90m2 - 2 VAGAS - PROJETO ARQUITETÔNICO",980000,https://www.wimoveis.com.br/propriedades/melhor-2-quartos-do-noroeste-85-90m2-2-vagas-2943598331.html
3,03 Quartos - Noroeste | Reserva Brasília,1060000,https://www.wimoveis.com.br/propriedades/03-quartos-noroeste-reserva-brasilia-2941646386.html
4,185 m² - Apartamento Bougainville Square 4 suítes plenas - ,1160000,https://www.wimoveis.com.br/propriedades/185-m-apartamento-bougainville-square-4-suites-2943693544.html
5,NOROESTE SQNW 311  MONTPARNASSE -  3 QUARTOS DE CANTO ANDAR ALTO NASC PRONTO,360000,https://www.wimoveis.com.br/propriedades/noroeste-sqnw-311-montparnasse-3-quartos-de-canto-2929842643.html
6,Apartamento à venda - em Aguas Claras Sul,1872821,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-em-aguas-claras-sul-2943746653.html
7,4 Suítes - Noroeste - Parque das Tulipas,180000,https://www.wimoveis.com.br/propriedades/4-suites-noroeste-parque-das-tulipas-2936585040.html
8,"2 Quartos, QNJ 58, Reformado, Nascente, Ao lado da Hélio Prates.",219999,https://www.wimoveis.com.br/propriedades/2-quartos-qnj-58-reformado-nascente-ao-lado-da-2943627974.html
9,Oportunidade,230000,https://www.wimoveis.com.br/propriedades/oportunidade-2943677248.html
10,"La Belle Maison Porteira fechada, 1 QUARTO, 1 SUÍTE, 1 VAGA",786000,https://www.wimoveis.com.br/propriedades/la-belle-maison-porteira-fechada-1-quarto-1-suite-1-2942544894.html
11,03 Quartos - Setor Bueno - Persona Bueno by Brasal,1180000,https://www.wimoveis.com.br/propriedades/03-quartos-setor-bueno-persona-bueno-by-brasal-2937654927.html
12,RESIDENCIAL  ILHAS MAURÍCIO PARK SUL - TRÊS - REFORMADO,660000,https://www.wimoveis.com.br/propriedades/residencial-ilhas-mauricio-park-sul-tres-2943332587.html
13,"SQN 416! APTO REFORMADO, VISTA LIVRE AO LADO DO PARQUE 99199-8954",1090000,https://www.wimoveis.com.br/propriedades/sqn-416!-apto-reformado-vista-livre-ao-lado-do-parque-2942215923.html
14,BELÍSSIMO 2QTOS COM 74M² E 2 VAGAS NO MELHOR CONDOMÍNIO - VISITE HOJE,355000,https://www.wimoveis.com.br/propriedades/belissimo-2qtos-com-74m-e-2-vagas-no-melhor-2943708632.html
15,Liberty Lago Norte,2150000,https://www.wimoveis.com.br/propriedades/liberty-lago-norte-2934273317.html
16,ILHAS DO LAGO - 4 QTS - REFORMADO - SEGUNDO ANDAR NASCENTE,800000,https://www.wimoveis.com.br/propriedades/ilhas-do-lago-4-qts-reformado-segundo-andar-2940279585.html
17,"Apartamento com 3 dormitórios à venda, 132 m² por R$ 800.000 - Norte - Águas Claras/DF",350000,https://www.wimoveis.com.br/propriedades/apartamento-com-3-dormitorios-a-venda-132-m-por-r$-2941987896.html
18,APARTAMENTO - SUL,332420,https://www.wimoveis.com.br/propriedades/apartamento-sul-2943581068.html
0,"NOROESTE. SQNW 311, 4 QUARTOS, CANTO, VAZADO, COM ARMÁRIOS.",1980000,https://www.wimoveis.com.br/propriedades/noroeste.-sqnw-311-4-quartos-canto-vazado-com-2943148630.html
1, 2 QUARTOS C/ 1 SUÍTE C/LAZER +VAGA RESID. BLEND R$ 310 MIL ,310000,https://www.wimoveis.com.br/propriedades/2-quartos-c-1-suite-c-lazer-vaga-resid.-blend-r$-310-2941890935.html
2,"MELHOR 2 QUARTOS DO NOROESTE - 85,90m2 - 2 VAGAS - PROJETO ARQUITETÔNICO",980000,https://www.wimoveis.com.br/propriedades/melhor-2-quartos-do-noroeste-85-90m2-2-vagas-2943598331.html
3,03 Quartos - Noroeste | Reserva Brasília,1060000,https://www.wimoveis.com.br/propriedades/03-quartos-noroeste-reserva-brasilia-2941646386.html
4,185 m² - Apartamento Bougainville Square 4 suítes plenas - ,1160000,https://www.wimoveis.com.br/propriedades/185-m-apartamento-bougainville-square-4-suites-2943693544.html
5,NOROESTE SQNW 311  MONTPARNASSE -  3 QUARTOS DE CANTO ANDAR ALTO NASC PRONTO,360000,https://www.wimoveis.com.br/propriedades/noroeste-sqnw-311-montparnasse-3-quartos-de-canto-2929842643.html
6,Apartamento à venda - em Aguas Claras Sul,1872821,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-em-aguas-claras-sul-2943746653.html
7,4 Suítes - Noroeste - Parque das Tulipas,180000,https://www.wimoveis.com.br/propriedades/4-suites-noroeste-parque-das-tulipas-2936585040.html
8,"2 Quartos, QNJ 58, Reformado, Nascente, Ao lado da Hélio Prates.",219999,https://www.wimoveis.com.br/propriedades/2-quartos-qnj-58-reformado-nascente-ao-lado-da-2943627974.html
9,Oportunidade,230000,https://www.wimoveis.com.br/propriedades/oportunidade-2943677248.html
10,"La Belle Maison Porteira fechada, 1 QUARTO, 1 SUÍTE, 1 VAGA",786000,https://www.wimoveis.com.br/propriedades/la-belle-maison-porteira-fechada-1-quarto-1-suite-1-2942544894.html
11,03 Quartos - Setor Bueno - Persona Bueno by Brasal,1180000,https://www.wimoveis.com.br/propriedades/03-quartos-setor-bueno-persona-bueno-by-brasal-2937654927.html
12,RESIDENCIAL  ILHAS MAURÍCIO PARK SUL - TRÊS - REFORMADO,660000,https://www.wimoveis.com.br/propriedades/residencial-ilhas-mauricio-park-sul-tres-2943332587.html
13,"SQN 416! APTO REFORMADO, VISTA LIVRE AO LADO DO PARQUE 99199-8954",1090000,https://www.wimoveis.com.br/propriedades/sqn-416!-apto-reformado-vista-livre-ao-lado-do-parque-2942215923.html
14,BELÍSSIMO 2QTOS COM 74M² E 2 VAGAS NO MELHOR CONDOMÍNIO - VISITE HOJE,355000,https://www.wimoveis.com.br/propriedades/belissimo-2qtos-com-74m-e-2-vagas-no-melhor-2943708632.html
15,Liberty Lago Norte,2150000,https://www.wimoveis.com.br/propriedades/liberty-lago-norte-2934273317.html
16,ILHAS DO LAGO - 4 QTS - REFORMADO - SEGUNDO ANDAR NASCENTE,800000,https://www.wimoveis.com.br/propriedades/ilhas-do-lago-4-qts-reformado-segundo-andar-2940279585.html
